StateAbbr,PlaceName,BPHIGH_CrudePrev,CANCER_CrudePrev,CHD_CrudePrev,CSMOKING_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,OBESITY_CrudePrev,SLEEP_CrudePrev,TEETHLOST_CrudePrev
NJ,Camden,37.1,3.9,6.6,27.5,15.3,35.6,39.8,51.0,29.4
NJ,Clifton,30.7,6.1,5.6,15.2,9.3,34.7,27.5,38.3,11.9
NJ,Elizabeth,32.2,4.4,5.7,19.9,12.4,34.5,32.8,43.9,20.0
NJ,Jersey City,28.8,4.2,4.5,17.3,9.8,30.6,23.6,44.3,18.1
NJ,Newark,35.0,4.3,6.0,23.0,13.3,33.4,37.7,48.5,24.7
NJ,Passaic,31.9,3.9,6.1,21.2,13.3,35.5,36.5,44.1,21.5
NJ,Paterson,35.8,4.2,6.4,21.7,14.5,35.9,38.5,46.0,22.1
NJ,Trenton,35.4,4.5,6.2,25.5,13.6,36.0,36.9,45.7,29.6
NJ,Union City,30.5,4.1,5.9,19.1,13.1,34.9,30.0,43.6,20.7
NM,Albuquerque,26.5,5.7,5.3,18.0,9.6,34.7,25.7,32.7,14.1
NM,Las Cruces,28.1,5.8,5.9,16.0,10.2,33.0,30.5,31.5,14.4
NM,Rio Rancho,25.7,5.9,4.9,16.4,8.3,31.4,25.8,32.2,13.0
NM,Santa Fe,27.0,7.2,5.8,14.9,9.5,32.8,21.2,26.3,11.1
NY,Albany,28.9,5.3,5.0,19.6,8.9,32.1,28.0,38.6,16.6
NY,Buffalo,36.1,5.6,6.5,23.3,12.4,34.7,37.2,43.2,22.8
NY,Mount Vernon,35.6,6.0,6.1,18.2,12.6,36.9,31.0,46.4,17.5
NY,New Rochelle,28.7,6.6,5.7,14.1,9.4,36.8,24.4,39.2,13.4
NY,New York,28.4,5.3,5.3,16.4,10.7,34.4,24.7,41.0,15.9
NY,Rochester,31.4,4.9,6.0,24.6,11.6,32.4,34.6,42.4,22.6
NY,Schenectady,31.2,5.9,6.1,23.7,9.7,35.6,30.8,41.3,19.5
NY,Syracuse,28.8,5.3,6.3,24.5,10.4,33.5,29.7,39.1,21.2
NY,Yonkers,29.6,6.3,6.1,16.2,10.5,37.9,26.2,40.7,14.3
NC,Asheville,30.9,7.1,6.4,16.8,9.0,34.7,24.1,29.7,14.3
NC,Cary,25.2,5.7,4.1,12.3,6.7,31.6,20.6,28.7,9.2
NC,Charlotte,30.5,5.0,4.7,17.2,9.1,32.2,28.9,34.7,15.7
NC,Concord,32.5,6.0,5.9,19.9,9.4,33.6,31.7,33.9,18.4
NC,Durham,29.7,5.0,4.8,17.3,9.2,30.3,27.0,33.9,16.4
NC,Fayetteville,34.6,5.2,5.4,19.9,10.0,32.7,32.8,39.7,18.3
NC,Gastonia,37.6,6.7,7.5,23.1,11.9,38.4,32.7,38.4,22.4
NC,Greensboro,33.2,5.8,5.7,19.8,10.0,35.0,31.8,34.8,16.7
NC,Greenville,27.6,4.4,4.6,21.0,8.1,29.5,27.3,34.5,18.6
NC,High Point,35.5,6.2,6.7,21.7,11.3,37.3,32.6,35.1,19.4
NC,Jacksonville,22.0,3.3,3.3,22.2,5.5,26.5,25.9,35.2,18.2
NC,Raleigh,26.8,4.9,4.3,16.4,7.7,30.0,24.8,32.2,13.1
NC,Wilmington,29.1,6.3,6.0,19.1,9.1,33.3,26.7,31.8,15.7
NC,Winston-Salem,35.3,6.1,6.7,21.1,11.4,35.4,32.0,36.0,17.7
ND,Fargo,24.1,5.3,4.3,17.3,6.2,32.5,29.8,28.7,10.6
OH,Akron,36.5,6.2,7.2,26.4,13.0,36.4,34.2,43.7,23.8
OH,Canton,36.8,6.5,8.2,27.3,13.7,36.4,37.8,41.1,24.5
OH,Cincinnati,34.1,5.4,6.4,23.1,12.6,35.4,34.3,38.6,22.4
OH,Cleveland,40.7,5.6,8.3,28.2,16.7,36.1,39.8,45.2,28.9
OH,Columbus,29.7,5.0,5.2,22.9,9.9,31.6,31.5,40.5,19.8
OH,Dayton,40.8,5.8,8.2,27.1,15.5,38.5,38.7,45.2,27.7
OH,Parma,32.5,7.6,7.1,20.8,10.0,35.3,28.5,35.7,15.5
OH,Toledo,35.6,6.0,7.4,25.0,12.6,34.3,32.9,39.8,21.6
OH,Youngstown,43.3,6.7,9.8,29.2,18.0,39.6,39.6,45.0,29.4
OK,Broken Arrow,31.5,6.1,5.6,19.0,8.4,35.5,30.4,34.2,13.8
OK,Edmond,27.2,6.1,4.9,16.0,7.6,33.9,25.2,31.7,11.9
OK,Lawton,32.6,5.1,5.8,25.0,9.7,33.9,35.2,39.3,23.3
OK,Norman,29.0,5.3,5.1,19.6,7.6,34.1,31.4,33.6,15.0
